match_id;SEASON;date;pens;pens_home_score;pens_away_score;HOME_TEAM;AWAY_TEAM;HT_SCORE;AW_SCORE;possession_home;possession_away;total_shots_home;total_shots_away;shots_on_target_home;shots_on_target_away;duels_won_home;duels_won_away;prediction_team_home_win;prediction_draw;prediction_team_away_win;prediction_quantity;location;lineup_home;lineup_away;player_names_home;player_numbers_home;player_names_away;player_numbers_away
1;2022-2023;Yesterday;False;False;False;Manchester City;Inter;1;0;0.56;0.44;7;14;4;6;0.56;0.44;0.67;0.03;0.3;890638;Atatürk Olimpiyat;[{'player_name': ' Haaland', 'player_number': '9'}, {'player_name': ' Grealish', 'player_number': '10'}, {'player_name': ' Gündoğan', 'player_number': '8'}, {'player_name': ' De Bruyne', 'player_number': '17'}, {'player_name': ' Bernardo Silva', 'player_number': '20'}, {'player_name': ' Rodri', 'player_number': '16'}, {'player_name': ' Stones', 'player_number': '5'}, {'player_name': ' Aké', 'player_number': '6'}, {'player_name': ' Dias', 'player_number': '3'}, {'player_name': ' Akanji', 'player_number': '25'}, {'player_name': ' Ederson', 'player_number': '31'}];[{'player_name': ' Martínez', 'player_number': '10'}, {'player_name': ' Dzeko', 'player_number': '9'}, {'player_name': ' Dimarco', 'player_number': '32'}, {'player_name': ' Calhanoglu', 'player_number': '20'}, {'player_name': ' Brozović', 'player_number': '77'}, {'player_name': ' Barella', 'player_number': '23'}, {'player_name': ' Dumfries', 'player_number': '2'}, {'player_name': ' Bastoni', 'player_number': '95'}, {'player_name': ' Acerbi', 'player_number': '15'}, {'player_name': ' Darmian', 'player_number': '36'}, {'player_name': ' Onana', 'player_number': '24'}];['Haaland', 'Grealish', 'Gündoğan', 'De Bruyne', 'Bernardo Silva', 'Rodri', 'Stones', 'Aké', 'Dias', 'Akanji', 'Ederson'];['9', '10', '8', '17', '20', '16', '5', '6', '3', '25', '31'];['Martínez', 'Dzeko', 'Dimarco', 'Calhanoglu', 'Brozović', 'Barella', 'Dumfries', 'Bastoni', 'Acerbi', 'Darmian', 'Onana'];['10', '9', '32', '20', '77', '23', '2', '95', '15', '36', '24']
2;2022-2023;17/05/2023;False;False;False;Manchester City;Real Madrid;4;0;0.6;0.4;16;7;8;3;0.58;0.42;0.48;0.02;0.5;843429;Etihad Stadium;[{'player_name': ' Haaland', 'player_number': '9'}, {'player_name': ' Grealish', 'player_number': '10'}, {'player_name': ' Gündoğan', 'player_number': '8'}, {'player_name': ' De Bruyne', 'player_number': '17'}, {'player_name': ' Bernardo Silva', 'player_number': '20'}, {'player_name': ' Rodri', 'player_number': '16'}, {'player_name': ' Stones', 'player_number': '5'}, {'player_name': ' Akanji', 'player_number': '25'}, {'player_name': ' Dias', 'player_number': '3'}, {'player_name': ' Walker', 'player_number': '2'}, {'player_name': ' Ederson', 'player_number': '31'}];[{'player_name': ' Vinícius Júnior', 'player_number': '20'}, {'player_name': ' Benzema', 'player_number': '9'}, {'player_name': ' Rodrygo', 'player_number': '21'}, {'player_name': ' Modrić', 'player_number': '10'}, {'player_name': ' Kroos', 'player_number': '8'}, {'player_name': ' Valverde', 'player_number': '15'}, {'player_name': ' Camavinga', 'player_number': '12'}, {'player_name': ' Alaba', 'player_number': '4'}, {'player_name': ' Éder Militão', 'player_number': '3'}, {'player_name': ' Carvajal', 'player_number': '2'}, {'player_name': ' Courtois', 'player_number': '1'}];['Haaland', 'Grealish', 'Gündoğan', 'De Bruyne', 'Bernardo Silva', 'Rodri', 'Stones', 'Akanji', 'Dias', 'Walker', 'Ederson'];['9', '10', '8', '17', '20', '16', '5', '25', '3', '2', '31'];['Vinícius Júnior', 'Benzema', 'Rodrygo', 'Modrić', 'Kroos', 'Valverde', 'Camavinga', 'Alaba', 'Éder Militão', 'Carvajal', 'Courtois'];['20', '9', '21', '10', '8', '15', '12', '4', '3', '2', '1']
3;2022-2023;16/05/2023;False;False;False;Inter;Milan;1;0;0.43;0.57;15;5;4;1;0.52;0.48;0.44;0.04;0.52;395373;Giuseppe Meazza;[{'player_name': ' Dzeko', 'player_number': '9'}, {'player_name': ' Martínez', 'player_number': '10'}, {'player_name': ' Dimarco', 'player_number': '32'}, {'player_name': ' Mkhitaryan', 'player_number': '22'}, {'player_name': ' Calhanoglu', 'player_number': '20'}, {'player_name': ' Barella', 'player_number': '23'}, {'player_name': ' Dumfries', 'player_number': '2'}, {'player_name': ' Bastoni', 'player_number': '95'}, {'player_name': ' Acerbi', 'player_number': '15'}, {'player_name': ' Darmian', 'player_number': '36'}, {'player_name': ' Onana', 'player_number': '24'}];[{'player_name': ' Giroud', 'player_number': '9'}, {'player_name': ' Leão', 'player_number': '17'}, {'player_name': ' Diaz', 'player_number': '10'}, {'player_name': ' Messias', 'player_number': '30'}, {'player_name': ' Tonali', 'player_number': '8'}, {'player_name': ' Krunic', 'player_number': '33'}, {'player_name': ' Hernandez', 'player_number': '19'}, {'player_name': ' Tomori', 'player_number': '23'}, {'player_name': ' Thiaw', 'player_number': '28'}, {'player_name': ' Calabria', 'player_number': '2'}, {'player_name': ' Maignan', 'player_number': '16'}];['Dzeko', 'Martínez', 'Dimarco', 'Mkhitaryan', 'Calhanoglu', 'Barella', 'Dumfries', 'Bastoni', 'Acerbi', 'Darmian', 'Onana'];['9', '10', '32', '22', '20', '23', '2', '95', '15', '36', '24'];['Giroud', 'Leão', 'Diaz', 'Messias', 'Tonali', 'Krunic', 'Hernandez', 'Tomori', 'Thiaw', 'Calabria', 'Maignan'];['9', '17', '10', '30', '8', '33', '19', '23', '28', '2', '16']
4;2022-2023;10/05/2023;False;False;False;Milan;Inter;0;2;0.58;0.42;13;16;2;5;0.51;0.49;0.6;0.05;0.35;446409;Giuseppe Meazza;[{'player_name': ' Giroud', 'player_number': '9'}, {'player_name': ' Saelemaekers', 'player_number': '56'}, {'player_name': ' Bennacer', 'player_number': '4'}, {'player_name': ' Diaz', 'player_number': '10'}, {'player_name': ' Tonali', 'player_number': '8'}, {'player_name': ' Krunic', 'player_number': '33'}, {'player_name': ' Hernandez', 'player_number': '19'}, {'player_name': ' Tomori', 'player_number': '23'}, {'player_name': ' Kjær', 'player_number': '24'}, {'player_name': ' Calabria', 'player_number': '2'}, {'player_name': ' Maignan', 'player_number': '16'}];[{'player_name': ' Dzeko', 'player_number': '9'}, {'player_name': ' Martínez', 'player_number': '10'}, {'player_name': ' Dimarco', 'player_number': '32'}, {'player_name': ' Mkhitaryan', 'player_number': '22'}, {'player_name': ' Calhanoglu', 'player_number': '20'}, {'player_name': ' Barella', 'player_number': '23'}, {'player_name': ' Dumfries', 'player_number': '2'}, {'player_name': ' Bastoni', 'player_number': '95'}, {'player_name': ' Acerbi', 'player_number': '15'}, {'player_name': ' Darmian', 'player_number': '36'}, {'player_name': ' Onana', 'player_number': '24'}];['Giroud', 'Saelemaekers', 'Bennacer', 'Diaz', 'Tonali', 'Krunic', 'Hernandez', 'Tomori', 'Kjær', 'Calabria', 'Maignan'];['9', '56', '4', '10', '8', '33', '19', '23', '24', '2', '16'];['Dzeko', 'Martínez', 'Dimarco', 'Mkhitaryan', 'Calhanoglu', 'Barella', 'Dumfries', 'Bastoni', 'Acerbi', 'Darmian', 'Onana'];['9', '10', '32', '22', '20', '23', '2', '95', '15', '36', '24']
5;2022-2023;09/05/2023;False;False;False;Real Madrid;Manchester City;1;1;0.44;0.56;13;10;4;6;0.46;0.54;0.52;0.04;0.44;889168;Santiago Bernabéu;[{'player_name': ' Vinícius Júnior', 'player_number': '20'}, {'player_name': ' Benzema', 'player_number': '9'}, {'player_name': ' Rodrygo', 'player_number': '21'}, {'player_name': ' Modrić', 'player_number': '10'}, {'player_name': ' Kroos', 'player_number': '8'}, {'player_name': ' Valverde', 'player_number': '15'}, {'player_name': ' Camavinga', 'player_number': '12'}, {'player_name': ' Alaba', 'player_number': '4'}, {'player_name': ' Rüdiger', 'player_number': '22'}, {'player_name': ' Carvajal', 'player_number': '2'}, {'player_name': ' Courtois', 'player_number': '1'}];[{'player_name': ' Haaland', 'player_number': '9'}, {'player_name': ' Grealish', 'player_number': '10'}, {'player_name': ' Gündoğan', 'player_number': '8'}, {'player_name': ' De Bruyne', 'player_number': '17'}, {'player_name': ' Bernardo Silva', 'player_number': '20'}, {'player_name': ' Rodri', 'player_number': '16'}, {'player_name': ' Stones', 'player_number': '5'}, {'player_name': ' Akanji', 'player_number': '25'}, {'player_name': ' Dias', 'player_number': '3'}, {'player_name': ' Walker', 'player_number': '2'}, {'player_name': ' Ederson', 'player_number': '31'}];['Vinícius Júnior', 'Benzema', 'Rodrygo', 'Modrić', 'Kroos', 'Valverde', 'Camavinga', 'Alaba', 'Rüdiger', 'Carvajal', 'Courtois'];['20', '9', '21', '10', '8', '15', '12', '4', '22', '2', '1'];['Haaland', 'Grealish', 'Gündoğan', 'De Bruyne', 'Bernardo Silva', 'Rodri', 'Stones', 'Akanji', 'Dias', 'Walker', 'Ederson'];['9', '10', '8', '17', '20', '16', '5', '25', '3', '2', '31']
6;2022-2023;19/04/2023;False;False;False;Inter;Benfica;3;3;0.4;0.6;11;12;3;5;0.54;0.46;0.68;0.04;0.28;265718;Giuseppe Meazza;[{'player_name': ' Dzeko', 'player_number': '9'}, {'player_name': ' Martínez', 'player_number': '10'}, {'player_name': ' Dimarco', 'player_number': '32'}, {'player_name': ' Mkhitaryan', 'player_number': '22'}, {'player_name': ' Brozović', 'player_number': '77'}, {'player_name': ' Barella', 'player_number': '23'}, {'player_name': ' Dumfries', 'player_number': '2'}, {'player_name': ' Bastoni', 'player_number': '95'}, {'player_name': ' Acerbi', 'player_number': '15'}, {'player_name': ' Darmian', 'player_number': '36'}, {'player_name': ' Onana', 'player_number': '24'}];[{'player_name': ' Ramos', 'player_number': '88'}, {'player_name': ' Aursnes', 'player_number': '8'}, {'player_name': ' Silva', 'player_number': '27'}, {'player_name': ' João Mário', 'player_number': '20'}, {'player_name': ' Chiquinho', 'player_number': '22'}, {'player_name': ' Florentino', 'player_number': '61'}, {'player_name': ' Grimaldo', 'player_number': '3'}, {'player_name': ' Otamendi', 'player_number': '30'}, {'player_name': ' Silva', 'player_number': '66'}, {'player_name': ' Moraes Júnior', 'player_number': '2'}, {'player_name': ' Vlachodimos', 'player_number': '99'}];['Dzeko', 'Martínez', 'Dimarco', 'Mkhitaryan', 'Brozović', 'Barella', 'Dumfries', 'Bastoni', 'Acerbi', 'Darmian', 'Onana'];['9', '10', '32', '22', '77', '23', '2', '95', '15', '36', '24'];['Ramos', 'Aursnes', 'Silva', 'João Mário', 'Chiquinho', 'Florentino', 'Grimaldo', 'Otamendi', 'Silva', 'Moraes Júnior', 'Vlachodimos'];['88', '8', '27', '20', '22', '61', '3', '30', '66', '2', '99']
7;2022-2023;19/04/2023;False;False;False;Bayern Munich;Manchester City;1;1;0.58;0.42;19;7;7;2;0.47;0.53;0.32;0.03;0.65;529555;Allianz Arena;[{'player_name': ' Choupo-Moting', 'player_number': '13'}, {'player_name': ' Sané', 'player_number': '10'}, {'player_name': ' Musiala', 'player_number': '42'}, {'player_name': ' Coman', 'player_number': '11'}, {'player_name': ' Goretzka', 'player_number': '8'}, {'player_name': ' Kimmich', 'player_number': '6'}, {'player_name': ' Cancelo', 'player_number': '22'}, {'player_name': ' De Ligt', 'player_number': '4'}, {'player_name': ' Upamecano', 'player_number': '2'}, {'player_name': ' Pavard', 'player_number': '5'}, {'player_name': ' Sommer', 'player_number': '27'}];[{'player_name': ' Haaland', 'player_number': '9'}, {'player_name': ' Grealish', 'player_number': '10'}, {'player_name': ' Gündoğan', 'player_number': '8'}, {'player_name': ' De Bruyne', 'player_number': '17'}, {'player_name': ' Bernardo Silva', 'player_number': '20'}, {'player_name': ' Rodri', 'player_number': '16'}, {'player_name': ' Stones', 'player_number': '5'}, {'player_name': ' Aké', 'player_number': '6'}, {'player_name': ' Dias', 'player_number': '3'}, {'player_name': ' Akanji', 'player_number': '25'}, {'player_name': ' Ederson', 'player_number': '31'}];['Choupo-Moting', 'Sané', 'Musiala', 'Coman', 'Goretzka', 'Kimmich', 'Cancelo', 'De Ligt', 'Upamecano', 'Pavard', 'Sommer'];['13', '10', '42', '11', '8', '6', '22', '4', '2', '5', '27'];['Haaland', 'Grealish', 'Gündoğan', 'De Bruyne', 'Bernardo Silva', 'Rodri', 'Stones', 'Aké', 'Dias', 'Akanji', 'Ederson'];['9', '10', '8', '17', '20', '16', '5', '6', '3', '25', '31']
8;2022-2023;18/04/2023;False;False;False;Napoli;Milan;1;1;0.74;0.26;23;6;4;4;0.5;0.5;0.53;0.04;0.43;369124;Diego Armando Maradona;[{'player_name': ' Kvaratskhelia', 'player_number': '77'}, {'player_name': ' Osimhen', 'player_number': '9'}, {'player_name': ' Politano', 'player_number': '21'}, {'player_name': ' Zieliński', 'player_number': '20'}, {'player_name': ' Lobotka', 'player_number': '68'}, {'player_name': ' Ndombele', 'player_number': '91'}, {'player_name': ' Rui', 'player_number': '6'}, {'player_name': ' Jesus', 'player_number': '5'}, {'player_name': ' Rrahmani', 'player_number': '13'}, {'player_name': ' Di Lorenzo', 'player_number': '22'}, {'player_name': ' Meret', 'player_number': '1'}];[{'player_name': ' Giroud', 'player_number': '9'}, {'player_name': ' Leão', 'player_number': '17'}, {'player_name': ' Bennacer', 'player_number': '4'}, {'player_name': ' Diaz', 'player_number': '10'}, {'player_name': ' Tonali', 'player_number': '8'}, {'player_name': ' Krunic', 'player_number': '33'}, {'player_name': ' Hernandez', 'player_number': '19'}, {'player_name': ' Tomori', 'player_number': '23'}, {'player_name': ' Kjær', 'player_number': '24'}, {'player_name': ' Calabria', 'player_number': '2'}, {'player_name': ' Maignan', 'player_number': '16'}];['Kvaratskhelia', 'Osimhen', 'Politano', 'Zieliński', 'Lobotka', 'Ndombele', 'Rui', 'Jesus', 'Rrahmani', 'Di Lorenzo', 'Meret'];['77', '9', '21', '20', '68', '91', '6', '5', '13', '22', '1'];['Giroud', 'Leão', 'Bennacer', 'Diaz', 'Tonali', 'Krunic', 'Hernandez', 'Tomori', 'Kjær', 'Calabria', 'Maignan'];['9', '17', '4', '10', '8', '33', '19', '23', '24', '2', '16']
9;2022-2023;18/04/2023;False;False;False;Chelsea;Real Madrid;0;2;0.55;0.45;19;9;6;6;0.47;0.53;0.2;0.02;0.78;501961;Stamford Bridge;[{'player_name': ' Havertz', 'player_number': '29'}, {'player_name': ' Gallagher', 'player_number': '23'}, {'player_name': ' Kanté', 'player_number': '7'}, {'player_name': ' Cucurella', 'player_number': '32'}, {'player_name': ' Kovačić', 'player_number': '8'}, {'player_name': ' Fernández', 'player_number': '5'}, {'player_name': ' James', 'player_number': '24'}, {'player_name': ' Chalobah', 'player_number': '14'}, {'player_name': ' Thiago Silva', 'player_number': '6'}, {'player_name': ' Fofana', 'player_number': '33'}, {'player_name': ' Arrizabalaga', 'player_number': '1'}];[{'player_name': ' Vinícius Júnior', 'player_number': '20'}, {'player_name': ' Benzema', 'player_number': '9'}, {'player_name': ' Rodrygo', 'player_number': '21'}, {'player_name': ' Modrić', 'player_number': '10'}, {'player_name': ' Kroos', 'player_number': '8'}, {'player_name': ' Valverde', 'player_number': '15'}, {'player_name': ' Camavinga', 'player_number': '12'}, {'player_name': ' Alaba', 'player_number': '4'}, {'player_name': ' Éder Militão', 'player_number': '3'}, {'player_name': ' Carvajal', 'player_number': '2'}, {'player_name': ' Courtois', 'player_number': '1'}];['Havertz', 'Gallagher', 'Kanté', 'Cucurella', 'Kovačić', 'Fernández', 'James', 'Chalobah', 'Thiago Silva', 'Fofana', 'Arrizabalaga'];['29', '23', '7', '32', '8', '5', '24', '14', '6', '33', '1'];['Vinícius Júnior', 'Benzema', 'Rodrygo', 'Modrić', 'Kroos', 'Valverde', 'Camavinga', 'Alaba', 'Éder Militão', 'Carvajal', 'Courtois'];['20', '9', '21', '10', '8', '15', '12', '4', '3', '2', '1']
10;2022-2023;12/04/2023;False;False;False;Real Madrid;Chelsea;2;0;0.57;0.43;18;7;10;3;0.54;0.46;0.78;0.02;0.2;602222;Santiago Bernabéu;[{'player_name': ' Vinícius Júnior', 'player_number': '20'}, {'player_name': ' Benzema', 'player_number': '9'}, {'player_name': ' Rodrygo', 'player_number': '21'}, {'player_name': ' Modrić', 'player_number': '10'}, {'player_name': ' Kroos', 'player_number': '8'}, {'player_name': ' Valverde', 'player_number': '15'}, {'player_name': ' Camavinga', 'player_number': '12'}, {'player_name': ' Alaba', 'player_number': '4'}, {'player_name': ' Éder Militão', 'player_number': '3'}, {'player_name': ' Carvajal', 'player_number': '2'}, {'player_name': ' Courtois', 'player_number': '1'}];[{'player_name': ' Félix', 'player_number': '11'}, {'player_name': ' Sterling', 'player_number': '17'}, {'player_name': ' Chilwell', 'player_number': '21'}, {'player_name': ' Kovačić', 'player_number': '8'}, {'player_name': ' Fernández', 'player_number': '5'}, {'player_name': ' Kanté', 'player_number': '7'}, {'player_name': ' James', 'player_number': '24'}, {'player_name': ' Koulibaly', 'player_number': '26'}, {'player_name': ' Thiago Silva', 'player_number': '6'}, {'player_name': ' Fofana', 'player_number': '33'}, {'player_name': ' Arrizabalaga', 'player_number': '1'}];['Vinícius Júnior', 'Benzema', 'Rodrygo', 'Modrić', 'Kroos', 'Valverde', 'Camavinga', 'Alaba', 'Éder Militão', 'Carvajal', 'Courtois'];['20', '9', '21', '10', '8', '15', '12', '4', '3', '2', '1'];['Félix', 'Sterling', 'Chilwell', 'Kovačić', 'Fernández', 'Kanté', 'James', 'Koulibaly', 'Thiago Silva', 'Fofana', 'Arrizabalaga'];['11', '17', '21', '8', '5', '7', '24', '26', '6', '33', '1']
11;2022-2023;12/04/2023;False;False;False;Milan;Napoli;1;0;0.46;0.54;12;16;2;6;0.49;0.51;0.39;0.05;0.56;404115;Giuseppe Meazza;[{'player_name': ' Giroud', 'player_number': '9'}, {'player_name': ' Leão', 'player_number': '17'}, {'player_name': ' Bennacer', 'player_number': '4'}, {'player_name': ' Diaz', 'player_number': '10'}, {'player_name': ' Tonali', 'player_number': '8'}, {'player_name': ' Krunic', 'player_number': '33'}, {'player_name': ' Hernandez', 'player_number': '19'}, {'player_name': ' Tomori', 'player_number': '23'}, {'player_name': ' Kjær', 'player_number': '24'}, {'player_name': ' Calabria', 'player_number': '2'}, {'player_name': ' Maignan', 'player_number': '16'}];[{'player_name': ' Kvaratskhelia', 'player_number': '77'}, {'player_name': ' Elmas', 'player_number': '7'}, {'player_name': ' Lozano', 'player_number': '11'}, {'player_name': ' Zieliński', 'player_number': '20'}, {'player_name': ' Lobotka', 'player_number': '68'}, {'player_name': ' Zambo Anguissa', 'player_number': '99'}, {'player_name': ' Rui', 'player_number': '6'}, {'player_name': ' Kim Min-jae', 'player_number': '3'}, {'player_name': ' Rrahmani', 'player_number': '13'}, {'player_name': ' Di Lorenzo', 'player_number': '22'}, {'player_name': ' Meret', 'player_number': '1'}];['Giroud', 'Leão', 'Bennacer', 'Diaz', 'Tonali', 'Krunic', 'Hernandez', 'Tomori', 'Kjær', 'Calabria', 'Maignan'];['9', '17', '4', '10', '8', '33', '19', '23', '24', '2', '16'];['Kvaratskhelia', 'Elmas', 'Lozano', 'Zieliński', 'Lobotka', 'Zambo Anguissa', 'Rui', 'Kim Min-jae', 'Rrahmani', 'Di Lorenzo', 'Meret'];['77', '7', '11', '20', '68', '99', '6', '3', '13', '22', '1']
12;2022-2023;11/04/2023;False;False;False;Manchester City;Bayern Munich;3;0;0.44;0.56;17;12;9;4;0.55;0.45;0.59;0.04;0.37;639460;Etihad Stadium;[{'player_name': ' Haaland', 'player_number': '9'}, {'player_name': ' Grealish', 'player_number': '10'}, {'player_name': ' Gündoğan', 'player_number': '8'}, {'player_name': ' De Bruyne', 'player_number': '17'}, {'player_name': ' Bernardo Silva', 'player_number': '20'}, {'player_name': ' Rodri', 'player_number': '16'}, {'player_name': ' Stones', 'player_number': '5'}, {'player_name': ' Aké', 'player_number': '6'}, {'player_name': ' Dias', 'player_number': '3'}, {'player_name': ' Akanji', 'player_number': '25'}, {'player_name': ' Ederson', 'player_number': '31'}];[{'player_name': ' Gnabry', 'player_number': '7'}, {'player_name': ' Sané', 'player_number': '10'}, {'player_name': ' Musiala', 'player_number': '42'}, {'player_name': ' Coman', 'player_number': '11'}, {'player_name': ' Goretzka', 'player_number': '8'}, {'player_name': ' Kimmich', 'player_number': '6'}, {'player_name': ' Davies', 'player_number': '19'}, {'player_name': ' De Ligt', 'player_number': '4'}, {'player_name': ' Upamecano', 'player_number': '2'}, {'player_name': ' Pavard', 'player_number': '5'}, {'player_name': ' Sommer', 'player_number': '27'}];['Haaland', 'Grealish', 'Gündoğan', 'De Bruyne', 'Bernardo Silva', 'Rodri', 'Stones', 'Aké', 'Dias', 'Akanji', 'Ederson'];['9', '10', '8', '17', '20', '16', '5', '6', '3', '25', '31'];['Gnabry', 'Sané', 'Musiala', 'Coman', 'Goretzka', 'Kimmich', 'Davies', 'De Ligt', 'Upamecano', 'Pavard', 'Sommer'];['7', '10', '42', '11', '8', '6', '19', '4', '2', '5', '27']
13;2022-2023;11/04/2023;False;False;False;Benfica;Inter;0;2;0.58;0.42;12;9;2;4;0.4;0.6;0.45;0.05;0.5;252911;Estádio do Sport Lisboa e Benfica (da Luz);[{'player_name': ' Ramos', 'player_number': '88'}, {'player_name': ' Aursnes', 'player_number': '8'}, {'player_name': ' Silva', 'player_number': '27'}, {'player_name': ' João Mário', 'player_number': '20'}, {'player_name': ' Chiquinho', 'player_number': '22'}, {'player_name': ' Florentino', 'player_number': '61'}, {'player_name': ' Grimaldo', 'player_number': '3'}, {'player_name': ' Morato', 'player_number': '91'}, {'player_name': ' Silva', 'player_number': '66'}, {'player_name': ' Moraes Júnior', 'player_number': '2'}, {'player_name': ' Vlachodimos', 'player_number': '99'}];[{'player_name': ' Dzeko', 'player_number': '9'}, {'player_name': ' Martínez', 'player_number': '10'}, {'player_name': ' Dimarco', 'player_number': '32'}, {'player_name': ' Mkhitaryan', 'player_number': '22'}, {'player_name': ' Brozović', 'player_number': '77'}, {'player_name': ' Barella', 'player_number': '23'}, {'player_name': ' Dumfries', 'player_number': '2'}, {'player_name': ' Bastoni', 'player_number': '95'}, {'player_name': ' Acerbi', 'player_number': '15'}, {'player_name': ' Darmian', 'player_number': '36'}, {'player_name': ' Onana', 'player_number': '24'}];['Ramos', 'Aursnes', 'Silva', 'João Mário', 'Chiquinho', 'Florentino', 'Grimaldo', 'Morato', 'Silva', 'Moraes Júnior', 'Vlachodimos'];['88', '8', '27', '20', '22', '61', '3', '91', '66', '2', '99'];['Dzeko', 'Martínez', 'Dimarco', 'Mkhitaryan', 'Brozović', 'Barella', 'Dumfries', 'Bastoni', 'Acerbi', 'Darmian', 'Onana'];['9', '10', '32', '22', '77', '23', '2', '95', '15', '36', '24']
